Concurso;Data;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Ganhadores;Prêmio
237;15/09/1996;14;26;36;37;69;2;199234,09
238;19/09/1996;25;27;55;61;69;0;
239;22/09/1996;17;60;67;74;75;1;694732,76
240;26/09/1996;30;35;49;51;69;0;
241;29/09/1996;2;16;32;63;67;4;171748,94
242;06/10/1996;22;34;36;42;62;2;217447,19
243;10/10/1996;2;4;55;60;65;1;291620,11
244;13/10/1996;5;8;31;32;41;2;185968,43
245;17/10/1996;16;25;27;28;69;2;143524,08
246;20/10/1996;22;61;63;66;80;2;187273,94
247;24/10/1996;3;5;22;30;60;4;71328,48
248;27/10/1996;5;50;56;60;62;5;74541,29
249;31/10/1996;9;50;63;67;76;1;277185,31
250;03/11/1996;43;51;75;79;80;0;
251;07/11/1996;20;37;46;61;74;0;
252;10/11/1996;8;14;43;65;76;4;292741,31
253;17/11/1996;7;21;54;62;77;5;95920,26
254;21/11/1996;21;38;52;60;66;1;291850,85
255;24/11/1996;11;46;55;75;78;0;
256;28/11/1996;4;6;18;40;74;4;186227,70
257;01/12/1996;24;26;37;48;71;0;
258;05/12/1996;3;35;39;63;69;4;194342,15
259;08/12/1996;6;21;22;52;74;2;213935,78
260;12/12/1996;16;19;21;23;32;3;108717,92
261;15/12/1996;2;10;29;33;54;0;
262;19/12/1996;13;61;65;67;79;1;825443,78
263;22/12/1996;32;63;66;76;77;2;206553,37
264;29/12/1996;23;25;29;52;55;4;113219,90
265;05/01/1997;26;37;39;66;71;3;143546,90
266;09/01/1997;21;28;51;65;69;1;308277,51
267;12/01/1997;8;27;44;66;75;3;129980,86
268;16/01/1997;39;51;57;75;76;2;152236,66
269;19/01/1997;7;22;23;50;76;0;
270;23/01/1997;14;21;33;34;45;4;184402,70
271;26/01/1997;3;11;24;54;65;6;63435,25
272;30/01/1997;3;14;22;32;41;0;
273;02/02/1997;13;15;25;39;44;6;116702,40
274;06/02/1997;15;52;55;62;79;1;311951,10
275;09/02/1997;13;22;29;68;72;3;118970,76
276;16/02/1997;13;17;23;49;71;10;41448,30
277;20/02/1997;26;32;38;68;72;2;148832,00
278;23/02/1997;5;10;21;51;58;2;190141,22
279;27/02/1997;2;20;39;53;60;2;145979,13
280;02/03/1997;16;18;46;56;80;3;124057,97
281;06/03/1997;23;41;46;53;71;2;147048,59
282;09/03/1997;20;48;50;75;76;4;97784,71
283;13/03/1997;25;46;52;61;74;2;150407,82
284;16/03/1997;9;23;56;64;73;5;77021,05
285;20/03/1997;7;13;37;56;64;9;32486,27
286;23/03/1997;2;18;64;67;77;3;128080,29
287;30/03/1997;11;28;60;61;71;1;385421,34
288;03/04/1997;2;13;27;78;80;1;292559,94
289;06/04/1997;4;69;70;72;80;2;189545,49
290;10/04/1997;5;6;55;70;73;0;
291;13/04/1997;5;34;45;49;58;2;356775,47
292;17/04/1997;4;42;67;74;75;3;100035,50
293;20/04/1997;4;41;49;55;80;4;94367,14
294;27/04/1997;17;20;43;68;74;5;94624,22
295;04/05/1997;10;20;29;65;76;2;217346,91
296;08/05/1997;1;21;50;55;68;1;282583,02
297;11/05/1997;25;52;53;58;78;1;379023,99
298;15/05/1997;6;17;31;40;66;2;141626,24
299;18/05/1997;11;25;29;52;53;10;36915,60
300;22/05/1997;8;19;20;28;34;4;70539,11
301;25/05/1997;44;46;53;59;65;0;
