Conc.;Data;1a;2a;3a;4a;5a;Gan.;Prêmio
5257;29/04/2020;26;38;41;77;79;0;
5256;28/04/2020;21;25;33;57;74;0;
5255;27/04/2020;11;15;43;51;73;0;
5254;25/04/2020;14;26;47;58;70;0;
5253;24/04/2020;3;7;24;65;74;0;
5252;23/04/2020;4;21;30;49;68;0;
5251;22/04/2020;4;18;29;44;71;0;
5250;20/04/2020;13;21;40;50;60;1;7.976.715,94
5249;18/04/2020;2;10;11;50;70;0;
5248;17/04/2020;1;39;54;55;67;0;
5247;16/04/2020;16;21;53;60;61;0;
5246;15/04/2020;7;50;60;63;71;0;
5245;14/04/2020;8;12;23;65;69;0;
5244;13/04/2020;2;46;66;69;72;0;
5243;11/04/2020;3;15;46;52;75;0;
5242;09/04/2020;22;31;33;59;63;0;
5241;08/04/2020;14;28;36;52;60;0;
5240;07/04/2020;5;8;38;41;79;0;
5239;06/04/2020;4;29;34;46;73;1;3.022.197,06
5238;04/04/2020;34;37;41;67;79;0;
5237;03/04/2020;14;30;49;75;76;0;
5236;02/04/2020;13;38;51;62;74;0;
5235;01/04/2020;8;18;25;73;78;0;
5234;31/03/2020;12;16;24;39;79;1;9.401.372,29
5233;30/03/2020;2;23;32;38;49;0;
5232;28/03/2020;22;26;59;61;65;0;
5231;27/03/2020;7;14;34;49;63;0;
5230;26/03/2020;11;15;55;57;60;0;
5229;25/03/2020;4;6;27;57;71;0;
5228;24/03/2020;4;7;51;63;75;0;
5227;23/03/2020;6;8;49;64;68;0;
5226;21/03/2020;24;36;43;51;52;0;
5225;20/03/2020;21;24;54;65;72;0;
5224;19/03/2020;36;37;70;72;75;0;
5223;18/03/2020;7;16;49;61;80;0;
5222;17/03/2020;8;10;26;43;45;0;
5221;16/03/2020;9;39;40;52;59;0;
5220;14/03/2020;1;12;53;61;63;1;7.710.887,94
5219;13/03/2020;6;8;10;53;54;0;
5218;12/03/2020;3;43;63;75;80;0;
5217;11/03/2020;1;10;12;55;56;0;
5216;10/03/2020;2;31;47;55;60;0;
5215;09/03/2020;2;42;46;73;74;0;
5214;07/03/2020;9;24;31;56;60;0;
5213;06/03/2020;18;20;33;36;66;0;
5212;05/03/2020;23;26;56;66;76;1;3.493.936,36
5211;04/03/2020;8;26;50;70;79;0;
5210;03/03/2020;10;32;66;70;77;0;
5209;02/03/2020;4;36;56;71;80;0;
5208;29/02/2020;33;44;45;77;78;3;1.439.942,66
5207;28/02/2020;27;33;42;62;68;0;
5206;27/02/2020;2;3;32;49;59;0;
5205;26/02/2020;12;25;39;46;66;0;
5204;22/02/2020;14;22;34;49;77;0;
5203;21/02/2020;9;18;30;48;71;1;5.302.016,24
5202;20/02/2020;3;21;30;46;59;0;
5201;19/02/2020;1;27;37;48;63;0;
5200;18/02/2020;6;14;43;55;79;0;
5199;17/02/2020;34;41;62;74;79;0;
5198;15/02/2020;2;38;53;58;59;0;
5197;14/02/2020;12;18;24;54;58;1;2.456.521,69
5196;13/02/2020;2;15;24;30;68;0;
5195;12/02/2020;20;22;34;43;80;0;
5194;11/02/2020;13;17;36;54;70;2;1.225.129,64
5193;10/02/2020;23;26;28;51;62;0;
5192;08/02/2020;7;18;32;53;72;0;
5191;07/02/2020;3;20;53;57;78;1;2.568.548,94
5190;06/02/2020;19;24;40;60;77;0;
5189;05/02/2020;7;9;15;18;38;0;
5188;04/02/2020;12;23;31;35;63;1;16.620.621,92
5187;03/02/2020;16;25;41;43;55;0;
5186;01/02/2020;8;31;50;69;72;0;
5185;31/01/2020;2;39;44;49;65;0;
5184;30/01/2020;5;43;45;53;69;0;
5183;29/01/2020;20;27;28;55;58;0;
5182;28/01/2020;14;21;26;44;58;0;
5181;27/01/2020;4;12;21;44;45;0;
5180;25/01/2020;1;11;33;62;68;0;
5179;24/01/2020;21;29;31;35;37;0;
5178;23/01/2020;5;6;20;21;44;0;
5177;22/01/2020;33;37;46;74;77;0;
5176;21/01/2020;1;19;34;46;51;0;
5175;20/01/2020;3;18;31;35;61;0;
5174;18/01/2020;8;55;57;68;79;1;9.153.889,71
5173;17/01/2020;4;27;57;74;76;0;
5172;16/01/2020;19;33;61;69;74;0;
5171;15/01/2020;42;47;52;61;66;0;
5170;14/01/2020;4;13;16;45;80;0;
5169;13/01/2020;23;32;65;72;79;0;
5168;11/01/2020;11;26;58;61;70;0;
5167;10/01/2020;17;18;38;54;60;0;
5166;09/01/2020;6;27;32;41;55;0;
5165;08/01/2020;5;7;18;25;57;1;2.586.263,92
5164;07/01/2020;11;62;65;74;80;0;
5163;06/01/2020;48;56;70;71;75;0;
5162;04/01/2020;6;11;13;33;63;1;1.591.781,93
5161;03/01/2020;11;14;15;47;70;0;
5160;02/01/2020;10;29;44;56;69;2;5.914.308,00
5159;30/12/2019;2;5;22;66;78;0;
5158;28/12/2019;1;4;24;40;41;0;
5157;27/12/2019;14;21;57;58;78;0;
5156;26/12/2019;5;6;22;57;80;0;
5155;24/12/2019;1;21;42;53;79;0;
5154;23/12/2019;18;32;37;42;59;0;
5153;21/12/2019;28;33;38;42;69;0;
5152;20/12/2019;9;37;41;71;73;0;
5151;19/12/2019;29;33;51;59;60;0;
5150;18/12/2019;29;43;44;56;77;0;
5149;17/12/2019;7;14;43;64;76;2;1.678.931,45
5148;16/12/2019;6;11;32;64;75;0;
5147;14/12/2019;9;19;42;61;73;0;
5146;13/12/2019;4;37;47;52;79;0;
5145;12/12/2019;8;27;29;56;80;1;1.553.682,75
5144;11/12/2019;1;7;17;36;46;0;
5143;10/12/2019;11;24;34;56;75;1;8.076.122,79
5142;09/12/2019;13;29;39;50;57;0;
5141;07/12/2019;14;19;31;66;71;0;
5140;06/12/2019;2;3;6;43;73;0;
5139;05/12/2019;1;5;34;48;69;0;
5138;04/12/2019;15;25;36;39;66;0;
5137;03/12/2019;9;13;15;20;53;0;
5136;02/12/2019;41;43;51;60;61;0;
5135;30/11/2019;1;9;14;48;56;1;7.287.934,41
5134;29/11/2019;6;15;18;27;80;0;
5133;28/11/2019;17;35;52;54;62;0;
5132;27/11/2019;7;12;33;44;63;0;
5131;26/11/2019;26;45;46;73;80;0;
5130;25/11/2019;5;12;19;38;42;0;
5129;23/11/2019;36;50;55;69;74;0;
5128;22/11/2019;2;25;32;41;71;0;
5127;21/11/2019;19;31;50;59;62;1;3.945.696,12
5126;20/11/2019;16;23;42;47;75;0;
5125;19/11/2019;25;47;62;66;75;0;
5124;18/11/2019;3;38;49;50;68;0;
5123;16/11/2019;11;31;41;45;61;0;
5122;14/11/2019;5;11;34;42;77;1;716.996,42
5121;13/11/2019;1;42;45;49;75;1;2.422.438,00
5120;12/11/2019;38;51;53;60;62;0;
5119;11/11/2019;18;29;33;36;39;0;
5118;09/11/2019;44;45;54;66;74;1;6.301.157,55
5117;08/11/2019;37;45;48;74;75;0;
5116;07/11/2019;7;15;16;49;79;0;
5115;06/11/2019;22;34;49;54;80;0;
5114;05/11/2019;5;11;46;48;71;0;
5113;04/11/2019;9;14;28;45;69;0;
5112;01/11/2019;5;32;42;49;62;0;
5111;31/10/2019;2;21;22;52;74;1;3.846.149,54
5110;30/10/2019;1;42;57;59;74;0;
5109;29/10/2019;14;34;40;42;62;0;
5108;28/10/2019;9;45;50;52;58;0;
5107;26/10/2019;4;17;31;58;60;0;
5106;25/10/2019;42;64;65;66;72;1;655.839,81
5105;24/10/2019;5;13;46;69;73;1;7.241.619,17
5104;23/10/2019;17;18;41;61;73;0;
5103;22/10/2019;1;9;14;20;78;0;
5102;21/10/2019;8;24;56;61;62;0;
5101;19/10/2019;2;14;27;46;55;0;
5100;18/10/2019;22;27;33;38;65;0;
5099;17/10/2019;6;7;52;56;57;0;
5098;16/10/2019;32;55;70;73;77;0;
5097;15/10/2019;9;21;22;37;52;1;9.272.688,65
5096;14/10/2019;32;46;51;58;70;0;
5095;11/10/2019;20;24;31;39;49;0;
5094;10/10/2019;6;10;21;28;77;0;
5093;09/10/2019;25;34;54;65;66;0;
5092;08/10/2019;15;24;49;65;66;0;
5091;07/10/2019;8;25;59;60;78;0;
5090;05/10/2019;14;19;22;51;65;0;
5089;04/10/2019;8;21;31;58;69;0;
5088;03/10/2019;7;22;56;62;66;2;1.232.735,16
5087;02/10/2019;2;11;24;39;73;0;
5086;01/10/2019;4;12;20;45;62;0;
5085;30/09/2019;10;36;60;73;80;1;4.430.635,58
5084;28/09/2019;8;26;30;33;65;0;
5083;27/09/2019;37;38;49;53;72;0;
5082;26/09/2019;11;38;65;69;70;0;
5081;25/09/2019;11;21;22;69;74;0;
5080;24/09/2019;40;44;58;60;77;1;17.102.388,27
5079;23/09/2019;15;24;32;33;47;0;
5078;21/09/2019;5;40;47;67;78;0;
5077;20/09/2019;5;18;38;41;44;0;
5076;19/09/2019;2;16;33;38;56;0;
5075;18/09/2019;15;23;47;70;75;0;
5074;17/09/2019;9;20;31;36;69;0;
5073;16/09/2019;10;14;60;77;78;0;
5072;14/09/2019;6;15;50;51;68;0;
5071;13/09/2019;1;50;53;70;72;0;
5070;12/09/2019;30;54;55;64;78;0;
5069;11/09/2019;12;19;25;54;61;0;
5068;10/09/2019;5;27;37;39;75;0;
5067;09/09/2019;9;12;16;23;48;0;
5066;06/09/2019;15;29;36;59;75;1;1.520.521,01
5065;05/09/2019;15;20;66;69;76;0;
5064;04/09/2019;6;35;58;63;73;1;32.686.894,02
5063;03/09/2019;7;40;62;64;72;0;
5062;02/09/2019;7;9;20;33;61;0;
5061;31/08/2019;9;39;63;69;75;0;
5060;30/08/2019;3;23;29;46;57;0;
5059;29/08/2019;16;27;42;53;66;0;
5058;28/08/2019;16;30;54;61;67;0;
5057;27/08/2019;31;33;58;59;68;0;
5056;26/08/2019;15;46;53;61;72;0;
5055;24/08/2019;4;40;41;60;63;0;
5054;23/08/2019;5;29;44;74;77;0;
5053;22/08/2019;18;19;28;54;73;0;
5052;21/08/2019;2;4;36;42;56;0;
5051;20/08/2019;19;24;34;54;77;0;
5050;19/08/2019;6;16;36;45;63;0;
5049;17/08/2019;23;48;53;56;77;0;
5048;16/08/2019;19;31;38;57;74;0;
5047;15/08/2019;9;23;62;64;74;0;
5046;14/08/2019;2;16;21;46;60;0;
5045;13/08/2019;2;9;12;13;58;0;
5044;12/08/2019;35;51;64;66;72;0;
5043;10/08/2019;17;29;33;44;70;1;8.083.469,71
5042;09/08/2019;39;56;66;70;75;0;
5041;08/08/2019;2;17;25;41;68;0;
5040;07/08/2019;20;29;50;51;72;0;
5039;06/08/2019;13;16;28;40;56;0;
5038;05/08/2019;1;4;33;34;70;0;
5037;03/08/2019;4;18;40;49;78;0;
5036;02/08/2019;2;21;41;55;80;0;
5035;01/08/2019;23;34;50;53;78;1;643.236,07
5034;31/07/2019;12;18;26;48;56;1;3.955.903,90
5033;30/07/2019;11;16;64;75;77;0;
5032;29/07/2019;3;12;22;29;31;0;
5031;27/07/2019;33;35;50;54;73;0;
5030;26/07/2019;5;18;28;70;75;0;
5029;25/07/2019;5;16;53;55;74;2;2.526.678,83
5028;24/07/2019;9;67;68;71;72;0;
5027;23/07/2019;17;21;31;61;79;0;
5026;22/07/2019;33;43;69;71;73;0;
5025;20/07/2019;6;19;46;59;61;0;
5024;19/07/2019;4;38;48;56;68;0;
5023;18/07/2019;5;37;49;52;67;1;1.379.969,56
5022;17/07/2019;6;10;26;39;65;0;
5021;16/07/2019;3;4;23;34;78;1;637.075,60
5020;15/07/2019;7;33;44;57;65;1;665.621,00
5019;13/07/2019;32;41;45;53;66;1;7.524.927,82
5018;12/07/2019;11;12;17;30;66;0;
5017;11/07/2019;11;18;28;30;69;0;
5016;10/07/2019;17;27;33;50;77;0;
5015;09/07/2019;26;43;52;60;76;0;
5014;08/07/2019;13;38;51;62;76;0;
5013;06/07/2019;7;13;34;68;78;0;
5012;05/07/2019;11;56;61;69;78;0;
5011;04/07/2019;8;14;26;45;61;2;1.609.670,84
